Land Type,Price,Price per m2,Area,City
"3 PN • Hướng Tây Nam • Nhà mặt phố, mặt tiền","13,89 tỷ",59 tr/m²,237 m²,Tp Hồ Chí Minh
"6 PN • Nhà ngõ, hẻm","10,75 tỷ",195 tr/m²,55 m²,Hà Nội
2 PN • Hướng Đông • Nhà phố liền kề,"3,3 tỷ",92 tr/m²,36 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"2,45 tỷ",38 tr/m²,65 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm","5,2 tỷ",52 tr/m²,100 m²,Tp Hồ Chí Minh
"2 PN • Hướng Tây Nam • Nhà ngõ, hẻm","3,65 tỷ",147 tr/m²,25 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm","7,35 tỷ",184 tr/m²,40 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền","6,3 tỷ",53 tr/m²,118 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 5 m,"4,85 tỷ",44 tr/m²,110 m²,Đà Nẵng
"9 PN • Nhà mặt phố, mặt tiền","13,7 tỷ",280 tr/m²,49 m²,Hà Nội
"3 PN • Nhà ngõ, hẻm","4,9 tỷ",153 tr/m²,32 m²,Hà Nội
Đất thổ cư • Ngang 9 m,"9,45 tỷ",56 tr/m²,168 m²,Đà Nẵng
"4 PN • Nhà ngõ, hẻm",6 tỷ,88 tr/m²,68 m²,Tp Hồ Chí Minh
"1 PN • Nhà mặt phố, mặt tiền","8,5 tỷ",79 tr/m²,108 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","10,8 tỷ",138 tr/m²,78 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm",6 tỷ,75 tr/m²,80 m²,Tp Hồ Chí Minh
"1 PN • Nhà ngõ, hẻm",4 tỷ,174 tr/m²,23 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","4,3 tỷ",77 tr/m²,56 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","10,2 tỷ",304 tr/m²,34 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","5,75 tỷ",115 tr/m²,50 m²,Tp Hồ Chí Minh
2 PN • Hướng Đông • Nhà phố liền kề,"3,85 tỷ",80 tr/m²,48 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông Bắc • Nhà ngõ, hẻm","2,68 tỷ",81 tr/m²,33 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 4.5 m,"4,2 tỷ",99 tr/m²,43 m²,Hà Nội
"4 PN • Nhà ngõ, hẻm","5,95 tỷ",99 tr/m²,60 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","3,2 tỷ",47 tr/m²,68 m²,Bình Dương
Đất thổ cư • Ngang 5 m,"1,2 tỷ",12 tr/m²,100 m²,Đắk Lắk
Đất thổ cư • Ngang 5 m,"1,25 tỷ",10 tr/m²,120 m²,Đà Nẵng
Đất thổ cư • Ngang 5 m,200 triệu,"1,1 tr/m²",190 m²,Bình Dương
"4 PN • Nhà ngõ, hẻm","5,95 tỷ",106 tr/m²,56 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông • Nhà ngõ, hẻm","3,5 tỷ",80 tr/m²,44 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông • Nhà mặt phố, mặt tiền","4,1 tỷ",205 tr/m²,20 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm","5,6 tỷ",70 tr/m²,80 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 10 m,9 tỷ,50 tr/m²,180 m²,Đà Nẵng
"6 PN • Hướng Nam • Nhà mặt phố, mặt tiền","14,3 tỷ",132 tr/m²,108 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,7 tỷ",102 tr/m²,46 m²,Hà Nội
"2 PN • Nhà ngõ, hẻm",2 tỷ,50 tr/m²,40 m²,Tp Hồ Chí Minh
"4 PN • Hướng Tây Nam • Nhà mặt phố, mặt tiền","7,85 tỷ",117 tr/m²,67 m²,Tp Hồ Chí Minh
Đất thổ cư,1 tỷ,"8,7 tr/m²",115 m²,Bình Dương
"3 PN • Hướng Đông Nam • Nhà ngõ, hẻm","6,05 tỷ",101 tr/m²,60 m²,Tp Hồ Chí Minh
"3 PN • Hướng Tây • Nhà ngõ, hẻm","6,8 tỷ",179 tr/m²,38 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm","7,6 tỷ",93 tr/m²,82 m²,Tp Hồ Chí Minh
"6 PN • Nhà mặt phố, mặt tiền","11,5 tỷ",280 tr/m²,41 m²,Hà Nội
